01:06.000  render           | Fra: 18 | Rendering 1 / 64 samples
01:06.250  render           | Fra: 18 | Rendering 25 / 64 samples
01:06.609  render           | Fra: 18 | Rendering 50 / 64 samples
01:06.828  render           | Fra: 18 | Rendering 64 / 64 samples
01:07.125  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0018.png'
01:07.125  render           | Time: 00:01.26 (Saving: 00:00.20)
01:07.125  render           | Rendering frame 19
01:07.125  render           | Start rendering: Scene, ViewLayer
01:07.125  render           | Engine: EEVEE
01:07.312  render           | Fra: 19 | Rendering 1 / 64 samples
01:07.547  render           | Fra: 19 | Rendering 25 / 64 samples
01:07.937  render           | Fra: 19 | Rendering 50 / 64 samples
01:08.156  render           | Fra: 19 | Rendering 64 / 64 samples
01:08.437  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0019.png'
01:08.437  render           | Time: 00:01.30 (Saving: 00:00.18)
01:08.437  render           | Rendering frame 20
01:08.437  render           | Start rendering: Scene, ViewLayer
01:08.437  render           | Engine: EEVEE
01:08.593  render           | Fra: 20 | Rendering 1 / 64 samples
01:08.828  render           | Fra: 20 | Rendering 25 / 64 samples
01:09.218  render           | Fra: 20 | Rendering 50 / 64 samples
01:09.437  render           | Fra: 20 | Rendering 64 / 64 samples
01:09.718  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0020.png'
01:09.718  render           | Time: 00:01.27 (Saving: 00:00.18)
01:09.718  render           | Rendering frame 21
01:09.718  render           | Start rendering: Scene, ViewLayer
01:09.718  render           | Engine: EEVEE
01:09.859  render           | Fra: 21 | Rendering 1 / 64 samples
01:10.109  render           | Fra: 21 | Rendering 25 / 64 samples
01:10.484  render           | Fra: 21 | Rendering 50 / 64 samples
01:10.703  render           | Fra: 21 | Rendering 64 / 64 samples
01:10.984  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0021.png'
01:10.984  render           | Time: 00:01.27 (Saving: 00:00.18)
01:10.984  render           | Rendering frame 22
01:10.984  render           | Start rendering: Scene, ViewLayer
01:10.984  render           | Engine: EEVEE
01:11.140  render           | Fra: 22 | Rendering 1 / 64 samples
01:11.375  render           | Fra: 22 | Rendering 25 / 64 samples
01:11.734  render           | Fra: 22 | Rendering 50 / 64 samples
01:11.968  render           | Fra: 22 | Rendering 64 / 64 samples
01:12.234  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0022.png'
01:12.234  render           | Time: 00:01.24 (Saving: 00:00.18)
01:12.234  render           | Rendering frame 23
01:12.234  render           | Start rendering: Scene, ViewLayer
01:12.234  render           | Engine: EEVEE
01:12.390  render           | Fra: 23 | Rendering 1 / 64 samples
01:12.640  render           | Fra: 23 | Rendering 25 / 64 samples
01:13.015  render           | Fra: 23 | Rendering 50 / 64 samples
01:13.234  render           | Fra: 23 | Rendering 64 / 64 samples
01:13.515  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0023.png'
01:13.515  render           | Time: 00:01.27 (Saving: 00:00.19)
01:13.515  render           | Rendering frame 24
01:13.515  render           | Start rendering: Scene, ViewLayer
01:13.515  render           | Engine: EEVEE
01:13.672  render           | Fra: 24 | Rendering 1 / 64 samples
01:13.922  render           | Fra: 24 | Rendering 25 / 64 samples
01:14.281  render           | Fra: 24 | Rendering 50 / 64 samples
01:14.500  render           | Fra: 24 | Rendering 64 / 64 samples
01:14.797  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0024.png'
01:14.797  render           | Time: 00:01.27 (Saving: 00:00.19)
01:14.797  render           | Rendering frame 25
01:14.797  render           | Start rendering: Scene, ViewLayer
01:14.797  render           | Engine: EEVEE
01:14.953  render           | Fra: 25 | Rendering 1 / 64 samples
01:15.187  render           | Fra: 25 | Rendering 25 / 64 samples
01:15.562  render           | Fra: 25 | Rendering 50 / 64 samples
01:15.781  render           | Fra: 25 | Rendering 64 / 64 samples
01:16.047  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0025.png'
01:16.047  render           | Time: 00:01.25 (Saving: 00:00.18)
01:16.047  render           | Rendering frame 26
01:16.047  render           | Start rendering: Scene, ViewLayer
01:16.047  render           | Engine: EEVEE
01:16.203  render           | Fra: 26 | Rendering 1 / 64 samples
01:16.453  render           | Fra: 26 | Rendering 25 / 64 samples
01:16.812  render           | Fra: 26 | Rendering 50 / 64 samples
01:17.031  render           | Fra: 26 | Rendering 64 / 64 samples
01:17.297  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0026.png'
01:17.297  render           | Time: 00:01.24 (Saving: 00:00.18)
01:17.297  render           | Rendering frame 27
01:17.297  render           | Start rendering: Scene, ViewLayer
01:17.297  render           | Engine: EEVEE
01:17.453  render           | Fra: 27 | Rendering 1 / 64 samples
01:17.703  render           | Fra: 27 | Rendering 25 / 64 samples
01:18.093  render           | Fra: 27 | Rendering 50 / 64 samples
01:18.312  render           | Fra: 27 | Rendering 64 / 64 samples
01:18.593  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0027.png'
01:18.593  render           | Time: 00:01.30 (Saving: 00:00.18)
01:18.593  render           | Rendering frame 28
01:18.609  render           | Start rendering: Scene, ViewLayer
01:18.609  render           | Engine: EEVEE
01:18.765  render           | Fra: 28 | Rendering 1 / 64 samples
01:19.015  render           | Fra: 28 | Rendering 25 / 64 samples
01:19.390  render           | Fra: 28 | Rendering 50 / 64 samples
01:19.609  render           | Fra: 28 | Rendering 64 / 64 samples
01:19.890  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0028.png'
01:19.890  render           | Time: 00:01.28 (Saving: 00:00.19)
01:19.890  render           | Rendering frame 29
01:19.890  render           | Start rendering: Scene, ViewLayer
01:19.890  render           | Engine: EEVEE
01:20.047  render           | Fra: 29 | Rendering 1 / 64 samples
01:20.328  render           | Fra: 29 | Rendering 25 / 64 samples
01:20.687  render           | Fra: 29 | Rendering 50 / 64 samples
01:20.906  render           | Fra: 29 | Rendering 64 / 64 samples
01:21.172  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0029.png'
01:21.172  render           | Time: 00:01.28 (Saving: 00:00.18)
01:21.172  render           | Rendering frame 30
01:21.172  render           | Start rendering: Scene, ViewLayer
01:21.172  render           | Engine: EEVEE
01:21.328  render           | Fra: 30 | Rendering 1 / 64 samples
01:21.578  render           | Fra: 30 | Rendering 25 / 64 samples
01:21.937  render           | Fra: 30 | Rendering 50 / 64 samples
01:22.172  render           | Fra: 30 | Rendering 64 / 64 samples
01:22.422  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0030.png'
01:22.422  render           | Time: 00:01.24 (Saving: 00:00.16)
01:22.422  render           | Rendering frame 31
01:22.422  render           | Start rendering: Scene, ViewLayer
01:22.422  render           | Engine: EEVEE
01:22.578  render           | Fra: 31 | Rendering 1 / 64 samples
01:22.843  render           | Fra: 31 | Rendering 25 / 64 samples
01:23.218  render           | Fra: 31 | Rendering 50 / 64 samples
01:23.437  render           | Fra: 31 | Rendering 64 / 64 samples
01:23.718  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0031.png'
01:23.718  render           | Time: 00:01.29 (Saving: 00:00.18)
01:23.718  render           | Rendering frame 32
01:23.718  render           | Start rendering: Scene, ViewLayer
01:23.718  render           | Engine: EEVEE
01:23.875  render           | Fra: 32 | Rendering 1 / 64 samples
01:24.156  render           | Fra: 32 | Rendering 25 / 64 samples
01:24.515  render           | Fra: 32 | Rendering 50 / 64 samples
01:24.734  render           | Fra: 32 | Rendering 64 / 64 samples
01:25.015  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0032.png'
01:25.015  render           | Time: 00:01.30 (Saving: 00:00.19)
01:25.015  render           | Rendering frame 33
01:25.015  render           | Start rendering: Scene, ViewLayer
01:25.015  render           | Engine: EEVEE
01:25.203  render           | Fra: 33 | Rendering 1 / 64 samples
01:25.468  render           | Fra: 33 | Rendering 25 / 64 samples
01:25.875  render           | Fra: 33 | Rendering 50 / 64 samples
01:26.093  render           | Fra: 33 | Rendering 64 / 64 samples
01:26.375  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0033.png'
01:26.375  render           | Time: 00:01.35 (Saving: 00:00.18)
01:26.375  render           | Rendering frame 34
01:26.375  render           | Start rendering: Scene, ViewLayer
01:26.375  render           | Engine: EEVEE
01:26.531  render           | Fra: 34 | Rendering 1 / 64 samples
01:26.843  render           | Fra: 34 | Rendering 25 / 64 samples
01:27.234  render           | Fra: 34 | Rendering 50 / 64 samples
01:27.453  render           | Fra: 34 | Rendering 64 / 64 samples
01:27.765  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0034.png'
01:27.765  render           | Time: 00:01.39 (Saving: 00:00.21)
01:27.765  render           | Rendering frame 35
01:27.765  render           | Start rendering: Scene, ViewLayer
01:27.765  render           | Engine: EEVEE
01:27.875  render           | Fra: 35 | Rendering 1 / 64 samples
01:28.250  render           | Fra: 35 | Rendering 25 / 64 samples
01:28.656  render           | Fra: 35 | Rendering 50 / 64 samples
01:28.875  render           | Fra: 35 | Rendering 64 / 64 samples
01:29.187  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0035.png'
01:29.187  render           | Time: 00:01.41 (Saving: 00:00.21)
01:29.187  render           | Rendering frame 36
01:29.187  render           | Start rendering: Scene, ViewLayer
01:29.187  render           | Engine: EEVEE
01:29.328  render           | Fra: 36 | Rendering 1 / 64 samples
01:29.703  render           | Fra: 36 | Rendering 25 / 64 samples
01:30.109  render           | Fra: 36 | Rendering 50 / 64 samples
01:30.343  render           | Fra: 36 | Rendering 64 / 64 samples
01:30.672  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0036.png'
01:30.672  render           | Time: 00:01.47 (Saving: 00:00.22)
01:30.672  render           | Rendering frame 37
01:30.672  render           | Start rendering: Scene, ViewLayer
01:30.672  render           | Engine: EEVEE
01:30.875  render           | Fra: 37 | Rendering 1 / 64 samples
01:31.265  render           | Fra: 37 | Rendering 25 / 64 samples
01:31.640  render           | Fra: 37 | Rendering 50 / 64 samples
01:31.875  render           | Fra: 37 | Rendering 64 / 64 samples
01:32.187  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0037.png'
01:32.187  render           | Time: 00:01.51 (Saving: 00:00.18)
01:32.187  render           | Rendering frame 38
01:32.187  render           | Start rendering: Scene, ViewLayer
01:32.187  render           | Engine: EEVEE
01:32.359  render           | Fra: 38 | Rendering 1 / 64 samples
01:32.765  render           | Fra: 38 | Rendering 25 / 64 samples
01:33.172  render           | Fra: 38 | Rendering 50 / 64 samples
01:33.359  render           | Fra: 38 | Rendering 64 / 64 samples
01:33.640  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0038.png'
01:33.640  render           | Time: 00:01.45 (Saving: 00:00.19)
01:33.640  render           | Rendering frame 39
01:33.640  render           | Start rendering: Scene, ViewLayer
01:33.640  render           | Engine: EEVEE
01:33.797  render           | Fra: 39 | Rendering 1 / 64 samples
01:34.203  render           | Fra: 39 | Rendering 25 / 64 samples
01:34.593  render           | Fra: 39 | Rendering 50 / 64 samples
01:34.734  render           | Fra: 39 | Rendering 64 / 64 samples
01:35.015  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0039.png'
01:35.015  render           | Time: 00:01.37 (Saving: 00:00.17)
01:35.015  render           | Rendering frame 40
01:35.015  render           | Start rendering: Scene, ViewLayer
01:35.015  render           | Engine: EEVEE
01:35.187  render           | Fra: 40 | Rendering 1 / 64 samples
